lastUpdateTime:1651328430259
1234765	 Lehaci, Miruna-Daria	 Lehaci, Miruna-Daria	ROU	wf	0	2004	79	2188	0	0
1304364	 Milov, Vadim	米洛夫	SUI	g	0	1972	103	2652	98	2653
1400355	 Nielsen, Peter Heine	尼尔森	DEN	g	0	1973	98	2654	95	2654
1441230	 Nilssen, Ellen Fredericia	 Nilssen, Ellen Fredericia	DEN	wf	9	2001	87	2175	0	0
1503014	 Carlsen, Magnus	卡尔森	NOR	g	0	1990	1	2864	1	2881
1503707	 Hammer, Jon Ludvig	海默尔	NOR	g	0	1990	100	2652	0	0
1510045	 Tari, Aryan	塔里	NOR	g	14	1999	88	2654	0	0
1610856	 Ragger, Markus	拉格尔	AUT	g	5	1988	99	2647	79	2668
1710400	 Grandelius, Nils	格兰德柳斯	SWE	g	10	1993	80	2656	0	0
2000024	 Kamsky, Gata	卡姆斯基	USA	g	2	1974	79	2661	37	2712
2000032	Seirawan,Yasser	塞拉万	USA	g	8	1960	93	2658	undefined	undefined
2004887	 Shankland, Sam	尚克兰	USA	g	8	1991	25	2718	0	0
2016192	 Nakamura, Hikaru	中村光	USA	g	14	1987	8	2766	7	2775
2020009	 Caruana, Fabiano	卡鲁阿纳	USA	g	8	1992	4	2786	4	2791
2021285	 Lenderman, Aleksandr	林德曼	USA	g	18	1989	97	2654	0	0
2023970	 Robson, Ray	罗布森	USA	g	2	1994	53	2684	0	0
2040506	 Sevian, Samuel	塞维扬	USA	g	4	2000	33	2703	0	0
2047640	 Xiong, Jeffery	熊奕韬	USA	g	2	2000	49	2688	0	0
2053900	 Wang, Annie	王安妮	USA	m	0	2002	9	2384	0	0
2054000	 Nguyen, Emily	 Nguyen, Emily	USA	wm	0	2002	31	2280	0	0
2072505	 Gorti, Akshita	 Gorti, Akshita	USA	f	0	2002	56	2242	0	0
2078341	 Yu, Jennifer	 Yu, Jennifer	USA	f	0	2002	15	2328	0	0
2090732	 Yip, Carissa	叶诗雯	USA	m	0	2003	4	2421	0	0
2093596	 Niemann, Hans Moke	尼曼	USA	g	18	2003	85	2656	0	0
2097478	 Samadashvili, Martha	 Samadashvili, Martha	USA	wf	0	2004	65	2215	0	0
2205530	 Vallejo Pons, Francisco	瓦列霍	ESP	g	0	1982	32	2704	48	2698
2209390	 Shirov, Alexei	希洛夫	ESP	g	1	1972	42	2695	40	2709
2257327	 Salgado Lopez, Ivan	萨尔加多	ESP	g	13	1991	88	2662	0	0
2285525	 Anton Guijarro, David	安东-奎亚罗	ESP	g	11	1995	46	2691	0	0
2293307	 Santos Latasa, Jaime	桑托斯	ESP	g	18	1996	66	2672	0	0
2620472	 Ouellet, Maili-Jade	 Ouellet, Maili-Jade	CAN	wg	0	2002	48	2257	0	0
2801990	 Smirin, Ilia	斯米林	ISR	g	0	1968	68	2676	83	2660
2802007	 Sutovsky, Emil	苏托夫斯基	ISR	g	15	1977	87	2659	90	2657
2804158	 Roiz, Michael	罗伊兹	ISR	g	0	1983	103	2652	102	2652
2804344	 Postny, Evgeny	波斯特尼	ISR	g	4	1981	86	2662	101	2652
2805677	 Gelfand, Boris	格尔凡德	ISR	g	2	1968	71	2668	12	2753
2806851	 Rodshtein, Maxim	罗德斯坦因	ISR	g	15	1989	97	2653	70	2672
2809052	 Nabaty, Tamir	纳巴蒂	ISR	g	2	1991	98	2649	0	0
2900017	 Georgiev, Kiril	基里尔-格奥尔基耶夫	BUL	g	18	1965	83	2664	83	2664
2900084	 Topalov, Veselin	托帕洛夫	BUL	g	0	1975	20	2730	8	2772
2900394	 Delchev, Aleksander	德尔切夫	BUL	g	9	1971	92	2660	0	0
2905540	 Cheparinov, Ivan	切帕里诺夫	BUL	g	11	1986	56	2682	61	2682
2915138	 Salimova, Nurgyul	萨米洛娃	BUL	m	0	2003	6	2397	0	0
2915235	 Antova, Gabriela	 Antova, Gabriela	BUL	f	0	2002	53	2247	0	0
2915405	 Radeva, Viktoria	 Radeva, Viktoria	BUL	wm	1	2001	20	2313	0	0
2916711	 Peycheva, Gergana	 Peycheva, Gergana	BUL	f	0	2003	49	2257	0	0
2921103	 Mehmed, Elif	 Mehmed, Elif	BUL	wf	0	2004	34	2273	0	0
2922029	 Krasteva, Beloslava	 Krasteva, Beloslava	BUL	f	0	2004	19	2315	0	0
2924056	 Toncheva, Nadya	 Toncheva, Nadya	BUL	wf	0	2005	18	2321	0	0
3503240	 Dominguez Perez, Leinier	多明格斯	USA	g	12	1983	12	2753	11	2760
3503739	 Bruzon Batista, Lazaro	布鲁佐恩	CUB	g	9	1982	85	2661	53	2694
3504409	 Quesada Perez, Yuniesky	奎萨达	CUB	g	15	1984	96	2655	0	0
3520420	 Obregon Garcia, Roxangel	 Obregon Garcia, Roxangel	CUB	wm	7	2003	89	2167	0	0
3520498	 Cervantes Landeiro, Thalia	 Cervantes Landeiro, Thalia	USA	f	9	2002	47	2258	0	0
